ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
0,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"50,46","0,00","47,28","85,58",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,18","0,00","96,36","18,65",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
2,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,81","0,00","94,24","18,23",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
3,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,68","0,00","94,23","18,22",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
4,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,38","0,00","47,64","81,88",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
5,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,98","0,00","96,27","19,15",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
6,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,38","0,00","94,15","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
7,0.00,encode_blocks_kernel,encode_blocks_kernel..,"143,97","0,00","94,19","18,72",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
8,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,92","0,00","47,51","81,43",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
9,0.00,encode_blocks_kernel,encode_blocks_kernel..,"561,73","0,00","96,32","19,16",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
10,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,13","0,00","94,28","18,74",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
11,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,10","0,00","94,02","18,69",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
12,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,76","0,00","47,24","81,76",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
13,0.00,encode_blocks_kernel,encode_blocks_kernel..,"562,46","0,00","96,39","19,17",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
14,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,06","0,00","93,87","18,66",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
15,0.00,encode_blocks_kernel,encode_blocks_kernel..,"144,22","0,00","93,90","18,67",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
